Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Specimen,MorphoID,L_mm,W_g,Notes
ARMS21M#42,2021,Anglaise,1,2981,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,,ARMSMc#002,12.7920,0.025573018,
ARMS21M#176,2021,Anglaise,2,3876,Y,3880,Chordata,Actinopterygii,Gobiiformes,Goby,,ARMSMc#002,19.435,0.083714975,
ARMS21M#351,2021,Moresby,2,5645,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,,ARMSMc#002,18.657,0.074558503,
ARMS21M#367,2021,Moresby,2,5687,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,13.555,0.030138467,
ARMS21M#367,2021,Moresby,2,5687,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,13.117,0.027458424,
ARMS21M#421,2021,Moresby,3,5997,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,20.538,0.097898381,
ARMS21M#421,2021,Moresby,3,5997,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,12.408,0.023455898,
ARMS19M#145,2019,Anglaise,5,1676,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,,ARMSMc#002,19.786,0.088073091,
ARMS19M#247,2019,Coin,7,2218,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,,ARMSMc#002,18.501,0.072804454,
ARMS19M#357,2019,Moresby,9,2759,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,12.291,0.022834212,juve
ARMS19M#357,2019,Moresby,9,2759,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,12.053,0.021602723,juve
ARMS19M#357,2019,Moresby,9,2759,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,3,ARMSMc#002,20.052,0.091471775,
ARMS22M#49,2022,Moresby,4,7498,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,17.841,0.065679257,
ARMS22M#49,2022,Moresby,4,7498,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,13.17,0.02777416,
ARMS22M#418,2022,Moresby,6,8899,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,11.445,0.018654034,
ARMS22M#418,2022,Moresby,6,8899,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,13.261,0.028321738,
ARMS22M#418,2022,Moresby,6,8899,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,3,ARMSMc#002,16.127,0.049323748,
ARMS22M#114,2022,Coin,7,7854,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,,ARMSMc#002,11.289,0.017942107,
ARMS22M#150,2022,Coin,8,8016,Y,"8011, 8012",Chordata,Actinopterygii,Gobiiformes,Goby,,ARMSMc#002,8.558,0.00818153,figure out size of tiles for scale
