Name,Row,Column,Patch Size,Label,Long Label,Verified,Machine confidence 1,Machine suggestion 1,Machine confidence 2,Machine suggestion 2,Machine confidence 3,Machine suggestion 3,Machine confidence 4,Machine suggestion 4,Machine confidence 5,Machine suggestion 5
Steyaert_ANG_ARMS2_180301_210419_3B.tif,414,427,284,_UNAV,_UNAV,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,243,4148,508,_UNAV,_UNAV,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,439,4061,270,_UNAV,_UNAV,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,4060,4054,282,_UNAV,_UNAV,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,4079,405,288,_UNAV,_UNAV,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,3413,311,114,_TUNC,_TUNC,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,3685,222,407,_TUNC,_TUNC,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1676,2172,3894,_SP,_SP,True,,,,,,,,,,
Steyaert_ANG_ARMS2_180301_210419_3B.tif,25,25,50,_RDEN,_RDEN,False,0.594,_RDEN,0.393,_RDUP,0.009,_CCA,0.001,_BREN,0.001,_GREN
Steyaert_ANG_ARMS2_180301_210419_3B.tif,75,25,50,_RDEN,_RDEN,False,0.938,_RDEN,0.052,_RDUP,0.005,_CCA,0.003,_BREN,0.001,_SP
Steyaert_ANG_ARMS2_180301_210419_3B.tif,125,25,50,_RDEN,_RDEN,False,0.857,_RDEN,0.093,_RDUP,0.019,_BREN,0.018,_CCA,0.004,_SP
Steyaert_ANG_ARMS2_180301_210419_3B.tif,175,25,50,_RDUP,_RDUP,False,0.961,_RDUP,0.032,_RDEN,0.002,_CCA,0.002,_FORM,0.001,_BREN
Steyaert_ANG_ARMS2_180301_210419_3B.tif,226,25,50,_RDUP,_RDUP,False,0.983,_RDUP,0.014,_RDEN,0.002,_CCA,0.000,_BREN,0.000,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,276,25,50,_RDUP,_RDUP,False,0.932,_RDUP,0.058,_RDEN,0.009,_CCA,0.000,_UNAV,0.000,_BREN
Steyaert_ANG_ARMS2_180301_210419_3B.tif,326,25,50,_RDUP,_RDUP,False,0.947,_RDUP,0.047,_RDEN,0.005,_CCA,0.001,_BREN,0.000,_FORM
Steyaert_ANG_ARMS2_180301_210419_3B.tif,376,25,50,_RDUP,_RDUP,False,0.986,_RDUP,0.008,_CCA,0.005,_RDEN,0.000,_FORM,0.000,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,427,25,50,_RDUP,_RDUP,False,0.923,_RDUP,0.052,_CCA,0.024,_RDEN,0.001,_GREN,0.000,_SP
Steyaert_ANG_ARMS2_180301_210419_3B.tif,477,25,50,_RDUP,_RDUP,False,0.978,_RDUP,0.019,_CCA,0.001,_RDEN,0.001,_UNAV,0.000,_BI
Steyaert_ANG_ARMS2_180301_210419_3B.tif,527,25,50,_RDUP,_RDUP,False,0.984,_RDUP,0.006,_RDEN,0.004,_BREN,0.002,_CCA,0.001,_SOWT
Steyaert_ANG_ARMS2_180301_210419_3B.tif,577,25,50,_RDUP,_RDUP,False,0.987,_RDUP,0.011,_RDEN,0.000,_CCA,0.000,_BREN,0.000,_SED
Steyaert_ANG_ARMS2_180301_210419_3B.tif,628,25,50,_RDUP,_RDUP,False,0.991,_RDUP,0.006,_RDEN,0.002,_CCA,0.000,_GREN,0.000,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,678,25,50,_RDUP,_RDUP,False,0.975,_RDUP,0.017,_RDEN,0.007,_CCA,0.000,_BREN,0.000,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,728,25,50,_RDUP,_RDUP,False,0.726,_RDUP,0.254,_RDEN,0.011,_CCA,0.006,_GREN,0.002,_BREN
Steyaert_ANG_ARMS2_180301_210419_3B.tif,778,25,50,_RDEN,_RDEN,False,0.823,_RDEN,0.161,_RDUP,0.007,_CCA,0.006,_BREN,0.001,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,829,25,50,_RDUP,_RDUP,False,0.585,_RDUP,0.403,_RDEN,0.005,_BREN,0.004,_CCA,0.001,_SED
Steyaert_ANG_ARMS2_180301_210419_3B.tif,879,25,50,_RDEN,_RDEN,False,0.951,_RDEN,0.034,_RDUP,0.009,_CCA,0.004,_BREN,0.001,_SP
Steyaert_ANG_ARMS2_180301_210419_3B.tif,929,25,50,_RDEN,_RDEN,False,0.991,_RDEN,0.006,_RDUP,0.002,_BREN,0.001,_CCA,0.000,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,979,25,50,_RDUP,_RDUP,False,0.946,_RDUP,0.049,_RDEN,0.002,_BREN,0.001,_CCA,0.001,_SED
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1030,25,50,_RDEN,_RDEN,False,0.943,_RDEN,0.050,_RDUP,0.002,_BREN,0.002,_CCA,0.001,_SP
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1080,25,50,_RDEN,_RDEN,False,0.924,_RDEN,0.068,_RDUP,0.004,_BREN,0.002,_CCA,0.001,_GREN
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1130,25,50,_RDEN,_RDEN,False,0.973,_RDEN,0.011,_RDUP,0.007,_BREN,0.005,_FORM,0.001,_CCA
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1180,25,50,_RDEN,_RDEN,False,0.900,_RDEN,0.066,_RDUP,0.022,_BREN,0.005,_CCA,0.002,_SED
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1231,25,50,_RDEN,_RDEN,False,0.530,_RDEN,0.398,_RDUP,0.047,_BREN,0.011,_SED,0.004,_SOWT
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1281,25,50,_RDUP,_RDUP,False,0.772,_RDUP,0.199,_RDEN,0.017,_BREN,0.004,_CCA,0.003,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1331,25,50,_RDUP,_RDUP,False,0.391,_RDUP,0.363,_RDEN,0.089,_SED,0.067,_BREN,0.028,_SOWT
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1381,25,50,_RDEN,_RDEN,False,0.655,_RDEN,0.201,_BREN,0.117,_RDUP,0.008,_GREN,0.005,_CCA
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1432,25,50,_RDEN,_RDEN,False,0.705,_RDEN,0.209,_BREN,0.021,_SP,0.019,_RDUP,0.011,_GREN
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1482,25,50,_RDEN,_RDEN,False,0.853,_RDEN,0.068,_FORM,0.062,_BREN,0.008,_RDUP,0.003,_CCA
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1532,25,50,_RDEN,_RDEN,False,0.788,_RDEN,0.112,_BREN,0.048,_GREN,0.024,_RDUP,0.008,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1582,25,50,_RDEN,_RDEN,False,0.877,_RDEN,0.073,_BREN,0.031,_RDUP,0.006,_UNAV,0.004,_CCA
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1633,25,50,_RDEN,_RDEN,False,0.960,_RDEN,0.023,_BREN,0.010,_RDUP,0.002,_CCA,0.002,_SP
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1683,25,50,_RDEN,_RDEN,False,0.934,_RDEN,0.045,_RDUP,0.012,_BREN,0.005,_CCA,0.001,_GREN
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1733,25,50,_RDEN,_RDEN,False,0.971,_RDEN,0.015,_RDUP,0.007,_BREN,0.004,_FORM,0.001,_CCA
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1783,25,50,_RDEN,_RDEN,False,0.793,_RDEN,0.179,_BREN,0.013,_RDUP,0.009,_SP,0.003,_CCA
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1834,25,50,_RDEN,_RDEN,False,0.911,_RDEN,0.068,_BREN,0.010,_RDUP,0.005,_GREN,0.003,_CCA
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1884,25,50,_RDEN,_RDEN,False,0.836,_RDEN,0.086,_BREN,0.054,_FORM,0.015,_GREN,0.005,_SP
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1934,25,50,_RDEN,_RDEN,False,0.923,_RDEN,0.033,_BREN,0.016,_RDUP,0.012,_CCA,0.006,_UNAV
Steyaert_ANG_ARMS2_180301_210419_3B.tif,1984,25,50,_RDEN,_RDEN,False,0.816,_RDEN,0.137,_BREN,0.024,_SP,0.007,_RDUP,0.007,_CCA
