Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Abundance_in_image,MorphoID,Notes
ARMS21M#1,2021,Anglaise,1,2842,Y,,Mollusca,Gastropoda,Littorinimorpha,Cowry,1,ARMSMc#154,
ARMS21M#2,2021,Anglaise,1,2854,N,,Annelida,,,Worm,1,ARMSMc#143,
ARMS21M#3,2021,Anglaise,1,2859,N,2862,Annelida,Polychaeta,Phyllodocida,Scaleworm,1,ARMSMc#144,
ARMS21M#4,2021,Anglaise,1,2865,Y,2866,Mollusca,Polyplacophora,,Chiton,1,ARMSMc#117,
ARMS21M#5,2021,Anglaise,1,2871,N,2880,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#249,
ARMS21M#42,2021,Anglaise,1,2981,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,
ARMS21M#176,2021,Anglaise,2,3876,Y,3880,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,
ARMS21M#351,2021,Moresby,2,5645,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,
ARMS21M#367,2021,Moresby,2,5687,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,
ARMS21M#421,2021,Moresby,3,5997,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,
ARMS21M#12,2021,Anglaise,1,2910,Y,2913,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#213,
ARMS19M#145,2019,Anglaise,5,1676,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,
ARMS21M#14,2021,Anglaise,1,2920,Y,,Annelida,Polychaeta,Phyllodocida,Scaleworm,1,ARMSMc#139,
ARMS21M#22,2021,Anglaise,1,2921,Y,,Chordata,Actinopterygii,Perciformes,Damselfish,1,ARMSMc#123,
ARMS21M#23,2021,Anglaise,1,2924,Y,,Chordata,Actinopterygii,,Fish,1,ARMSMc#127,
ARMS19M#247,2019,Coin,7,2218,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,
ARMS19M#357,2019,Moresby,9,2759,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,3,ARMSMc#002,
ARMS22M#49,2022,Moresby,4,7498,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,2,ARMSMc#002,
??????,2021,Anglaise,1,2931,Y,"2932, 2933, 2935",Echinodermata,Ophiuroidea,,Brittlestar,1,,
ARMS21M#27,2021,Anglaise,1,2938,Y,,Arthropoda,Malacostraca,Decapoda,???,1,,
ARMS22M#418,2022,Moresby,6,8899,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,3,ARMSMc#002,
ARMS21M#15,2021,Anglaise,1,2944,Y,2945,Chordata,Actinopterygii,,Fish,1,ARMSMc#127,
ARMS22M#114,2022,Coin,7,7854,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,
ARMS21M#17,2021,Anglaise,1,2951,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#054,
ARMS22M#150,2022,Coin,8,8016,Y,"8011, 8012",Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,figure out size of tiles for scale
ARMS21M#19,2021,Anglaise,1,2955,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#249,
ARMS22M#158,2022,Coin,8,8024,Y,"8011, 8012",Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,figure out size of tiles for scale
ARMS22M#358,2022,Court,10,8681,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,ARMS 10 or 11?
ARMS21M#30,2021,Anglaise,1,2961,Y,,Arthropoda,Malacostraca,Decapoda,Squat_lobster,1,ARMSMc#025,
ARMS22M#358,2022,Court,11,8681,Y,,Chordata,Actinopterygii,Gobiiformes,Goby,1,ARMSMc#002,ARMS 10 or 11?
ARMS21M#31,2021,Anglaise,1,2963,Y,,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#212,
ARMS21M#32,2021,Anglaise,1,2965,Y,,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#215,
ARMS21M#49,2021,Anglaise,1,3288,Y,,Annelida,Polychaeta,,Bristleworm,2,ARMSMc#005,
ARMS21M#482,2021,Coin,1,6253,Y,6254,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#005,
ARMS21M#35,2021,Anglaise,1,2969,Y,,Mollusca,Gastropoda,Neogastropoda,Cone_snail,1,ARMSMc#161,
ARMS19M#110,2019,Anglaise,4,1416,Y,,Annelida,Polychaeta,Eunicida,Bristleworm,2,ARMSMc#005,
ARMS19M#136,2019,Anglaise,5,1659,Y,,Annelida,Polychaeta,Eunicida,Bristleworm,1,ARMSMc#005,
ARMS21M#38,2021,Anglaise,1,2974,Y,,Mollusca,Gastropoda,Neogastropoda,Cone_snail,1,ARMSMc#162,
ARMS21M#39,2021,Anglaise,1,2976,Y,,Chordata,Actinopterygii,,Fish,1,ARMSMc#127,
ARMS21M#40,2021,Anglaise,1,2978,Y,,Annelida,Polychaeta,Phyllodocida,Scaleworm,1,ARMSMc#049,
ARMS19M#137,2019,Anglaise,5,1660,Y,,Annelida,Polychaeta,Eunicida,Bristleworm,1,ARMSMc#005,
ARMS19M#241,2019,Coin,7,2202,Y,,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#005,
ARMS19M#311,2019,Moresby,8,2461,Y,,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#005,
ARMS21M#50,2021,Anglaise,1,2987,Y,,Annelida,,,Worm,1,ARMSMc#050,
ARMS21M#53,2021,Anglaise,1,2998,Y,,Annelida,,,Worm,1,ARMSMc#145,
ARMS21M#54,2021,Anglaise,1,3000,Y,,Mollusca,Gastropoda,,???,1,,
